package,uid,code_path,system_app,privileged,signature_digest,granted_permissions,permission_protection,grant_flags,code_or_sink_path,caller_reachability,provenance,source_ref
"com.amazon.providers.contentsupport","10138","/system/priv-app/com.amazon.providers.contentsupport","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:51; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.device.crashmanager","10105","/system/priv-app/CrashManager","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:52; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.kindle.rdmdeviceadmin","10115","/system/priv-app/com.amazon.kindle.rdmdeviceadmin","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:53; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.parentalcontrols","10058","/system/priv-app/com.amazon.parentalcontrols","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:54; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.adep","10132","/system/priv-app/com.amazon.adep","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:55; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:11; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.amazon.avod","10106","/data/app/com.amazon.avod-llUXUUPczfHcVsyR4FQq7g==","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:56; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.communication.discovery","10015","/system/priv-app/com.amazon.communication.discovery","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:57; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.dcpms.fos.service","10090","/system/priv-app/com.amazon.dcpms.fos.service","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:58; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.cloud9.kids","10049","/system/priv-app/com.amazon.cloud9.kids","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:59; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:12; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.amazon.kindle","10052","/system/priv-app/com.amazon.kindle","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:60; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.avod","10106","/system/priv-app/com.amazon.avod","true","true","UNKNOWN","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.DELETE_PACKAGES|android.permission.FORCE_STOP_PACKAGES|android.permission.INSTALL_PACKAGES|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:61; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"

