surface_family,source_csv,source_row,source_sha256,id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,evidence_sha256,confidence,unknowns,row_id,delta_type,topic,evidence_location,capability,reachability,observed_effect,disposition,surface,source_config,dt_init_ueventd_file_contexts_vendor_te,native_artifact_dt_needed_relocations,identity_policy_sink,result,unknown_boundary,provenance_sha256,scope,route_family,canonical_result,duplicate_or_contradiction,integrated_status,new_safe_read_only_probe,prohibited_replay,evidence_paths_sha256,category,status,evidence_file
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,3,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-002,UserManagerService,createUser,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,1972-1975,IUserManager,UNKNOWN,user manager system service,checkManageOrCreateUsersPermission(flags); MANAGE_USERS or CREATE_USERS; system/root accepted,UserManagerService Binder implementation,system/default user scope,UserInfo created from name and flags,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static direct,transaction/publication and SELinux rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,4,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-003,UserManagerService,createProfileForUser,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,1957-1964,IUserManager,UNKNOWN,user manager system service,checkManageOrCreateUsersPermission(flags); MANAGE_USERS or CREATE_USERS; system/root accepted,UserManagerService Binder implementation,parent userId plus created profile,profile with disallowedPackages,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static direct,transaction/publication and SELinux rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,5,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-004,UserManagerService,removeUser,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,2112-2115,IUserManager,UNKNOWN,user manager system service,"checkManageOrCreateUsersPermission(""Only the system can remove users""); exact downstream checks UNKNOWN",UserManagerService Binder implementation,userHandle argument,removal of user and associated state,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static direct,exact caller identity and downstream lifecycle gate UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,6,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-005,UserController,stopUser,decompiled/jadx/systemui/sources/com/android/server/am/UserController.java,255-270,IActivityManager,UNKNOWN,activity system service,INTERACT_ACROSS_USERS_FULL or amazon.aosp.permission.INTERACT_ACROSS_USERS_FULL; Binder calling pid/uid checked; shell restriction also enforced,UserController Binder-facing path,userId; system user rejected,stopping user state,3382de2f12fc0f38c757c3fd021c06482db96c19389ec9909218423addd47274,static direct,transaction/publication and SELinux rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,7,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-006,ActivityManagerShellCommand,runSwitchUser -> switchUser,decompiled/jadx/systemui/sources/com/android/server/am/ActivityManagerShellCommand.java,1611-1619,IActivityManager,UNKNOWN,activity service shell command,shell command plus canSwitchUsers restriction; exact shell UID enforcement in downstream path UNKNOWN,ActivityManagerShellCommand,supplied target user,target user switch,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,static direct,command registration and SELinux/service-manager gate UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,8,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-007,ActivityManagerShellCommand,runStartUser -> startUserInBackground,decompiled/jadx/systemui/sources/com/android/server/am/ActivityManagerShellCommand.java,1628-1634,IActivityManager,UNKNOWN,activity service shell command,shell command path; downstream caller and SELinux gate UNKNOWN,ActivityManagerShellCommand,supplied target user,start user in background,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,static direct,exact authorization and command registration UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,9,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-008,ActivityManagerShellCommand,runStopUser -> stopUser,decompiled/jadx/systemui/sources/com/android/server/am/ActivityManagerShellCommand.java,1686-1704,IActivityManager,UNKNOWN,activity service shell command,shell command path; downstream INTERACT_ACROSS_USERS_FULL gate visible in UserController,ActivityManagerShellCommand,supplied target user,target user stop with force/wait options,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,static direct,exact shell SELinux/service-manager rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,10,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-009,AppRestrictionsHelper,setApplicationHiddenSettingAsUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/AppRestrictionsHelper.java,105-106;116-119,IPackageManager,UNKNOWN,package service via Settings-side helper,PackageManager validation; Settings UI/profile-policy caller and SELinux rule UNKNOWN,AppRestrictionsHelper,explicit userId,package hidden/unhidden,107ba7f2925439e8bf061b39b9496a5d6cc661c00990d5be9259104f2960486f,static direct,reachability and exact caller identity UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,11,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-010,AppRestrictionsHelper,deletePackageAsUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/AppRestrictionsHelper.java,116-117,IPackageManager,UNKNOWN,package service via Settings-side helper,PackageManager uninstall validation; only restricted-profile branch visible,AppRestrictionsHelper,explicit userId,package removal for restricted profile,107ba7f2925439e8bf061b39b9496a5d6cc661c00990d5be9259104f2960486f,static direct,reachability and exact caller identity UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,12,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-011,UserManagerHelper,createUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/UserManagerHelper.java,167-174,IUserManager,UNKNOWN,user manager system service,helper checks no_add_user restriction; service permission gate remains authoritative,UserManagerHelper,current process/default user scope,new user name,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,static direct,UI entry and exact caller identity UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,13,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-012,UserManagerHelper,removeUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/UserManagerHelper.java,177-185,IUserManager,UNKNOWN,user manager system service,helper excludes system/current-user case; service permission gate remains authoritative,UserManagerHelper,userInfo.id,user removal,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,static direct,reachability and exact caller identity UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,14,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-013,UserManagerHelper,switchUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/UserManagerHelper.java,247-251,IActivityManager,UNKNOWN,activity system service,helper checks current/foreground user only; downstream switch gate and SELinux rule UNKNOWN,UserManagerHelper,target user id,target user switch,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,static direct,reachability and exact caller identity UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,15,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-014,SettingsProvider,insert/update/delete settings,decompiled/jadx/settings-provider/sources/com/android/providers/settings/SettingsProvider.java,344-418;658-690;865-910,ContentProvider settings authority,UNKNOWN,settings provider authority=settings,global/secure writes enforce WRITE_SECURE_SETTINGS; system writes use WRITE_SETTINGS or app-op; cross-user gate at 431,external callers through exported SettingsProvider,calling user and requested setting namespace,global/secure/system settings values,4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b,static direct,per-setting restrictions and SELinux/provider policy UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,16,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-015,SettingsProvider,exported provider publication,decompiled/jadx/settings-provider/resources/AndroidManifest.xml,16-31,ContentProvider settings authority,UNKNOWN,authority=settings,android:exported=true; sharedUserId=android.uid.system; provider write methods enforce permissions,SettingsProvider,singleUser across users,exported SettingsProvider,e4f2d9d47e7fa10be2aa2d26f6549b41184762d7ff5c77c19ffa7fc7560aac70,static manifest,APK/container hash and provider SELinux rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,17,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-016,MediaSessionService,write media_button_receiver setting,decompiled/jadx/systemui/sources/com/android/server/media/MediaSessionService.java,625-625,internal media session service,UNKNOWN,system_server media service,internal service path; exact caller/permission and SELinux rule UNKNOWN,MediaSessionService,full user id,secure setting media_button_receiver,58ce4931e266384bd63147b65748edb53190d68f270b0b324dfa5c646506d5af,static direct,caller/data-flow and exact gate UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,18,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-017,UserManagerService,persist user list/user state,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,1585-1591;1668-1701,internal PackageManager/user manager path,UNKNOWN,system_server filesystem persistence,"system_server internal; file path, DAC, SELinux and caller gate UNKNOWN",UserManagerService,user list and user state,files selected by userFile/userListFile,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static file sink,file paths and runtime reachability UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WF live ProductPolicy,,,,WF-POL-001,,,,,,,,,,,<policy/>; no Fire Launcher,2cc60c0ee80bbba2752671b7323e2bdaae8f87125b7251726f821906f58087e2,,alternate policy source not excluded,,,,,,,none; read-only,,,,,,,,,,,,,,,,,,global_policy,CONFIRMED_NO_ENTRY,artifacts/phase6wf-product-policy-readonly-20260810-01/global_policy.xml
6WF live ProductPolicy,,,,WF-POL-002,,,,,,,,,,,child Cloud9 entries; no Fire Launcher,75c7919d2006fc0b088996cd2048b927c419b03ca025a95b20ff31e3de9868aa,,policy writer is privileged static capability,,,,,,,none; read-only,,,,,,,,,,,,,,,,,,common_device_policy,CONFIRMED_NO_ENTRY,artifacts/phase6wf-product-policy-readonly-20260810-01/common_device_policy.xml
6WF live ProductPolicy,,,,WF-POL-003,,,,,,,,,,,adult/child Paladin and ECS entries; no Fire Launcher,66f05c0e0f502e6db191904ec39be5e5b6302905f00cdacfc8a29ef327089512,,policy writer is privileged static capability,,,,,,,none; read-only,,,,,,,,,,,,,,,,,,multimodal_device_policy,CONFIRMED_NO_ENTRY,artifacts/phase6wf-product-policy-readonly-20260810-01/multimodal_device_policy.xml
6WF live ProductPolicy,,,,WF-POL-004,,,,,,,,,,,Facebook SEND activity filter; no HOME/package writer,c3a80bcd0b52250aaa72bd863ae6a633f3153df646ffc57682972bc7c39fab8c,,full PackageManager filter caller path remains static-only,,,,,,,none; read-only,,,,,,,,,,,,,,,,,,receiver_filter_policy,CONFIRMED_NOT_HOME_WRITER,artifacts/phase6wf-product-policy-readonly-20260810-01/receiver_filter_policy.xml
6WF live ProductPolicy,,,,WF-POL-005,,,,,,,,,,,/system/etc/product_policy.xml absent on live device,fee33721f9ea80bb151b2fb04b58de4d9e846a1de68c7c994f6e7416d217fe07,,OTA file-map lists path; installed layout or provenance mismatch unresolved,,,,,,,none; pull failed with ENOENT,,,,,,,,,,,,,,,,,,product_policy,UNKNOWN_LAYOUT_MISMATCH,artifacts/phase6wf-product-policy-readonly-20260810-01/device_policy_paths.txt
