"record_id","record_type","surface","artifact_or_entry","caller","gate","identity_or_user_scope","sink","runtime_or_result","missing_edge","classification","confidence","evidence","next_safe_step"
"P21C-008","ion","cameraserver and surfaceflinger downstream ownership","No exact camerahalserver ELF in Phase 9 ION set; no service ELF directly joined to gralloc/hwcomposer implementation; surfaceflinger is a system-owned init service and a HAL consumer candidate","cameraserver user cameraserver, groups audio/camera/input/drmrpc; surfaceflinger user system, groups graphics/drmrpc/readproc; camerahalserver rc and vendor context identify mtk_hal_camera candidate","CIL contains camera/graphics/ion policy candidates; exact process-to-library/device allow path remains unresolved","cameraserver user cameraserver, groups audio/camera/input/drmrpc; surfaceflinger user system, groups graphics/drmrpc/readproc; camerahalserver rc and vendor context identify mtk_hal_camera candidate","Camera/display buffer/DMA effects remain plausible downstream sinks; no direct package/HOME/privilege sink","host-only ELF/policy graph; no /dev node operation","exact camerahalserver/native implementation, surfaceflinger loader graph, ION callsite and effect dataflow","UNKNOWN_PROCESS_CHAIN","Hypothesis","work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E08 plus report matrix; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/init/cameraserver.rc:1-6; system/etc/init/surfaceflinger.rc:1-5","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21C-009","ion","ION node/policy boundary","ION generic/MTK source/config/Image and prior library closure are retained; no selected trona DTB/DTBO or exact built-in/module object manifest was found in preserved host corpus","No DTB/object edge is available to prove a selected heap/platform instance; source platform registration is not delivery proof","plat/vendor file_contexts map /dev/ion to ion_device; merged CIL has multiple ion_device allows, but no process invocation or heap-specific custom allow proof","No DTB/object edge is available to prove a selected heap/platform instance; source platform registration is not delivery proof","Allocation/map/share/import/sync/custom can affect buffer/DMA/secure heap state; no framework sink established","host-only ELF/policy graph; no /dev node operation","selected DTB/DTBO, exact shipped kernel object/heap instance, complete process-domain allow and top-level invocation","BOUNDED_STATIC_POLICY_ONLY","Strong evidence","work/luna_worker_phase20_reconciliation_20260810.md P20D-ION-003; work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-001/002; findings/phase-6np-evidence-index.md:7","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21D-RESOURCE-001","denylist","resource seed","resource-table-targets.json maps 0x7e05000a to amazon.fireos:raw/package_manager_deny_list; raw JSON parses as object with string-array packages_deny_list; 48 entries, 46 unique, com.amazon.firelauncher count=1; sha256sums.txt passes; raw sha256=16086fecbfce0a20c0b37535e25d690635d398b30d582fa6d231736dc9bdf710 | artifacts/phase6ap/denylist-resource-closure-20260805-01/{summary.json,input-sha256.json,resource-table-targets.json,package-table.json,debugfs-commands.json,res/raw/package_manager_deny_list.json,sha256sums.txt}; artifacts/phase6ap/consumer-snippet-20260805-01/fosservices-denylist-consumer.snippet.txt","resource/persisted/runtime evidence layer; no new caller invoked","can_close_from_saved_evidence=YES","system-owned deny-list; live literal membership is not exposed","PS7331 host resource identity, path, schema, and static Fire membership are closed; seed write remains conditional on DenyListKeyPackages absence","CLOSED_HOST_STATIC","No proof that seed branch executed on the captured device boot; no proof of current persisted set","CLOSED_HOST_STATIC","Confirmed","artifacts/phase6ap/denylist-resource-closure-20260805-01/{summary.json,input-sha256.json,resource-table-targets.json,package-table.json,debugfs-commands.json,res/raw/package_manager_deny_list.json,sha256sums.txt}; artifacts/phase6ap/consumer-snippet-20260805-01/fosservices-denylist-consumer.snippet.txt","No live read, pull, chmod, refresh, Binder, ADB, package/HOME mutation, OTA or root"
"P21D-PERSISTED-002","denylist","persisted membership","Saved metadata proves /data/system/PackageManagerDenyList exists with size 2645, system:system, mode 0660; shared-pref listing has no content; pull log records Permission denied; no persisted set schema/content artifact | artifacts/phase6k/readonly-device-20260805-01/deny_list_stat.stdout.txt; deny_list_ls.stdout.txt; deny_list_shared_pref_ls.stdout.txt; firmware/manifests/ARTIFACT-20260803-04/pull_path__data_system_PackageManagerDenyList.log; artifacts/phase6ai/denylist-flow-20260805-01/denylist-flow.csv","resource/persisted/runtime evidence layer; no new caller invoked","can_close_from_saved_evidence=NO","system-owned deny-list; live literal membership is not exposed","Persisted file metadata/ACL boundary is closed; literal DenyListKeyPackages membership, including live Fire membership, remains unknown","UNRESOLVED_CONTENT","Host resource membership and rejection cannot be promoted to live persisted literal membership; Phase6DK unchanged stat is not content evidence","UNRESOLVED_CONTENT","Hypothesis","artifacts/phase6k/readonly-device-20260805-01/deny_list_stat.stdout.txt; deny_list_ls.stdout.txt; deny_list_shared_pref_ls.stdout.txt; firmware/manifests/ARTIFACT-20260803-04/pull_path__data_system_PackageManagerDenyList.log; artifacts/phase6ai/denylist-flow-20260805-01/denylist-flow.csv","No privileged read/pull, chmod, ACL/SELinux bypass, Arcus refresh, property mutation, Binder, ADB or root"
"P21D-REJECTION-003","denylist","observed protected rejection","Saved command-output includes exact package and component disable commands, SecurityException stack, and read-only post-state; no new command run | adb/phase6fg/PHASE6FG-PMS-PROTECTED-PACKAGE-20260806-01/command-output.txt; adb/component-tests/COMPONENT-T01/; adb/component-tests/COMPONENT-T02/; output/tables/phase6fg-pms-protected-package.csv","resource/persisted/runtime evidence layer; no new caller invoked","can_close_from_saved_evidence=YES","system-owned deny-list; live literal membership is not exposed","Saved exact-build shell package/component mutation attempts were rejected before state write; Fire remained enabled and HOME resolver remained Fire priority 50","CLOSED_RUNTIME_OBSERVATION","The observation does not expose the live persisted set literal or prove every protected operation shares one callback result; no bypass conclusion","CLOSED_RUNTIME_OBSERVATION","Confirmed","adb/phase6fg/PHASE6FG-PMS-PROTECTED-PACKAGE-20260806-01/command-output.txt; adb/component-tests/COMPONENT-T01/; adb/component-tests/COMPONENT-T02/; output/tables/phase6fg-pms-protected-package.csv","No replay of disable/enable/uninstall/force-stop, no Fire Launcher mutation, no ADB, Binder, refresh, OTA or root"
"P21D-JOIN-004","denylist","resource-to-persisted-to-rejection join","Static resource and consumer hashes/path/schema agree; static reader/writer and callback locations agree; runtime rejection is independently saved; persisted literal is absent | artifacts/phase6ap/denylist-resource-closure-20260805-01/; artifacts/phase6ai/denylist-flow-20260805-01/; artifacts/phase6ap/consumer-snippet-20260805-01/; adb/phase6fg/PHASE6FG-PMS-PROTECTED-PACKAGE-20260806-01/command-output.txt","resource/persisted/runtime evidence layer; no new caller invoked","can_close_from_saved_evidence=NO_FOR_FULL_LIVE_CHAIN","system-owned deny-list; live literal membership is not exposed","High-confidence static-to-runtime consistency: resource seed contains Fire and callback/rejection path exists; full live content proof is not established","PARTIAL_CHAIN","Missing live DenyListKeyPackages content is the sole material gap in the three-layer join","PARTIAL_CHAIN","Strong evidence","artifacts/phase6ap/denylist-resource-closure-20260805-01/; artifacts/phase6ai/denylist-flow-20260805-01/; artifacts/phase6ap/consumer-snippet-20260805-01/; adb/phase6fg/PHASE6FG-PMS-PROTECTED-PACKAGE-20260806-01/command-output.txt","Do not infer live membership, read privileged content, trigger refresh, call Binder/ADB, or mutate Fire/HOME"
"P21E-001","sink_review","PackageManager enabled-state","firmware/extracted/PS7331/compiled-02/system/framework/{services.vdex,fosservices.vdex}; selected framework/services manifests","KFT lifecycle -> setComponentEnabledSetting/setApplicationEnabledSetting; caller authorization, accepted identity and UserInfo.id==User0 unresolved -> Fire Launcher/Launcher3 component/application state","CONFIRMED_STATIC_SINK","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","KFT lifecycle -> setComponentEnabledSetting/setApplicationEnabledSetting; caller authorization, accepted identity and UserInfo.id==User0 unresolved -> Fire Launcher/Launcher3 component/application state","status=已證實; disposition=Do not reclassify as complete User0/HOME chain","Existing enabled-state ledger; no new caller/gate/user closure","CONFIRMED_STATIC_SINK","Confirmed","firmware/extracted/PS7331/compiled-02/system/framework/{services.vdex,fosservices.vdex}; selected framework/services manifests","Do not reclassify as complete User0/HOME chain"
"P21E-002","sink_review","PS7331 framework/services artifact boundary","firmware/extracted/PS7331/selected/extraction-manifest.tsv; firmware/extracted/PS7331/compiled-02/extraction-manifest.tsv; compiled hashes in P21E report","selected/compiled framework and services artifacts are present; artifact identity is established but execution/caller reachability is not -> no additional HOME writer recovered","CONFIRMED_ARTIFACT_SCOPE","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","selected/compiled framework and services artifacts are present; artifact identity is established but execution/caller reachability is not -> no additional HOME writer recovered","status=已證實; disposition=Retain static-only scope","No new HOME path beyond existing reports","CONFIRMED_ARTIFACT_SCOPE","Confirmed","firmware/extracted/PS7331/selected/extraction-manifest.tsv; firmware/extracted/PS7331/compiled-02/extraction-manifest.tsv; compiled hashes in P21E report","Retain static-only scope"
"P21E-003","sink_review","OTA partition writer","firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; extracted update-binary/updater-script","OTA controller/verifier -> recovery/update-binary -> fixed block-image/boot-chain writer; recovery UID/domain, AVB/rollback and acceptance remain unknown -> partition capability","HIGH_STATIC_CAPABILITY","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","OTA controller/verifier -> recovery/update-binary -> fixed block-image/boot-chain writer; recovery UID/domain, AVB/rollback and acceptance remain unknown -> partition capability","status=高可信; disposition=No execution or partition conclusion","Existing OTA closure; not a new chain","HIGH_STATIC_CAPABILITY","Strong evidence","firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; extracted update-binary/updater-script","No execution or partition conclusion"
"P21E-004","sink_review","native diagnostic/RPMB partials","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/{meta_tst,rpmb_svc}; Phase 20 driver closure","meta_tst -> gsensor/USB sysfs policy; rpmb_svc -> RPMB ioctl/policy with partial init/domain join -> hardware/storage sinks, not requested PMS/HOME/partition/kernel-memory sink","HIGH_PARTIAL_STATIC_CALLER","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","meta_tst -> gsensor/USB sysfs policy; rpmb_svc -> RPMB ioctl/policy with partial init/domain join -> hardware/storage sinks, not requested PMS/HOME/partition/kernel-memory sink","status=高可信; disposition=Keep partial and bounded","Existing Phase 20 partial chains; no cross-surface bridge","HIGH_PARTIAL_STATIC_CALLER","Strong evidence","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/{meta_tst,rpmb_svc}; Phase 20 driver closure","Keep partial and bounded"
"P21E-005","sink_review","PMS callback fan-out","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; Phase 20 IPC/reconciliation reports","system-server callback references deletePackageX/removePackageLI/getPackagesForUid/enabled calls; external caller, method gate, accepted identity and user/effect mapping incomplete -> possible PMS state","UNKNOWN_CALLBACK_CHAIN","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","system-server callback references deletePackageX/removePackageLI/getPackagesForUid/enabled calls; external caller, method gate, accepted identity and user/effect mapping incomplete -> possible PMS state","status=待驗證; disposition=Host-only join only; no callback trigger","Direct method reference/registration is not complete caller chain","UNKNOWN_CALLBACK_CHAIN","Hypothesis","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; Phase 20 IPC/reconciliation reports","Host-only join only; no callback trigger"
"P21E-006","sink_review","current-user UI launch","saved PS7331 service disassembly and Phase 20 IPC closure","AmazonProfile startProfilePicker/startActivityAsUser -> current user UI; no preferred/HOME setter or external caller closure -> configured activity sink","UI_LAUNCH_NOT_HOME","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","AmazonProfile startProfilePicker/startActivityAsUser -> current user UI; no preferred/HOME setter or external caller closure -> configured activity sink","status=待驗證; disposition=Do not call transaction or start picker","Existing UI residual; no new HOME/User0 writer","UI_LAUNCH_NOT_HOME","Probable","saved PS7331 service disassembly and Phase 20 IPC closure","Do not call transaction or start picker"
"P21E-007","sink_review","kernel/driver to privilege sink","firmware/extracted/PS7331/boot_unpacked/Image; Phase 20 driver closure; native artifact reports","source/config/Image/native driver candidates -> missing exact opener/control-flow, selected DTB/object, UID/domain and credential/kernel-memory effect -> no complete privilege chain","DRIVER_CAPABILITY_DISCONNECTED","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","source/config/Image/native driver candidates -> missing exact opener/control-flow, selected DTB/object, UID/domain and credential/kernel-memory effect -> no complete privilege chain","status=待驗證; disposition=Host-only provenance join only","Existing driver residuals; no new kernel-memory/UID0 closure","DRIVER_CAPABILITY_DISCONNECTED","Hypothesis","firmware/extracted/PS7331/boot_unpacked/Image; Phase 20 driver closure; native artifact reports","Host-only provenance join only"
"P21E-008","sink_review","runtime/exploit/device","scope boundary only","Any attempt to trigger Binder/broadcast, mutate package/HOME/settings, open driver nodes, execute OTA/recovery, write partition or kernel memory -> forbidden runtime sink","RISK_REJECTED","See caller_gate_identity_sink; no additional accepted identity/user edge was closed in this cross-surface review","Any attempt to trigger Binder/broadcast, mutate package/HOME/settings, open driver nodes, execute OTA/recovery, write partition or kernel memory -> forbidden runtime sink","status=風險拒絕; disposition=Remain untested and out of scope","No runtime negative result; operation not performed","RISK_REJECTED","Hypothesis","scope boundary only","Remain untested and out of scope"
