phase,record_id,surface,source_path,source_sha256,entry_or_node,caller_or_identity,gate_or_policy,sink_or_effect,low_privilege_reachability,classification,confidence,unknowns,safety_disposition
6SB,6SB-003,IAmazonUserManager tx3 KFT writer,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log; output/tables/phase6kq-kft-component-protection.csv,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71; 8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1,fosservices:54297-54325 uses UserInfo.id for Tahoe/Fire/Launcher3 setters; boot-fosframework:369180-369255 createChildUser supplies UserInfo; existing 6FJ/6FK downstream gates reject ordinary User 10/User 0 attempts,child/profile-scoped package/component writer; no formal HOME setter and no hard-coded User 0 writer,CONFIRMED writer; SAVED-ROUTE DISPROVEN for low-privileged tested paths,child/profile-scoped package/component writer; no formal HOME setter and no hard-coded User 0 writer,CONFIRMED writer; SAVED-ROUTE DISPROVEN for low-privileged tested paths,CONFIRMED writer; SAVED-ROUTE DISPROVEN for low-privileged tested paths,High,complete inherited tx3 authorization and runtime caller universe,"no adb, Binder transaction, service call, or package mutation"
6SB,6SB-004,parent/profile/DPM and setup-state paths,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; work/luna_worker_parent_profile_dpm_sink_closure_20260810.md; work/luna_worker_binder_sink_closure_20260810.md,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; 33a1c241f22b30f2276b4ccc3461b4926e0556e5650d743af4d32e97852d1002; 4f55d1ea0bc76184fafee664fad46fed57c69b390146a30cc8866a69a2940252,"Parental Controls inspected DPM path has owner/admin gates and no arbitrary Fire/HOME relay; tx4 clearCallingIdentity reaches fixed setup settings, not package/HOME sink",no low-privileged parent/profile/user-manager route to User-0 HOME/package-state sink in preserved evidence,BOUNDED NEGATIVE for requested sink; identity clear is non-target,no low-privileged parent/profile/user-manager route to User-0 HOME/package-state sink in preserved evidence,BOUNDED NEGATIVE for requested sink; identity clear is non-target,BOUNDED NEGATIVE for requested sink; identity clear is non-target,Medium-High,unseen runtime aliases and incomplete inherited/generated branches,"no adb, Binder transaction, service call, or package mutation"
6SB,6SB-005,shell and ordinary-app service reachability,work/luna_worker_phase6_ipc_kft_audit_20260810.md; output/tables/phase6ku-ipc-boundaries.csv; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,93d6b39f721b1bd1e31f1d0423336f21343f8bca537147b437196827e3852755; 04e25c8b472f82ee273309e4b3fd4c410ed67a18c48c028c9c8e6799ae618200; ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,shell UID 2000 service-manager find denied by enforcing SELinux evidence; ordinary APK tx3 reachability exists but downstream PMS gates reject target User 10/User 0 mutation,no shell/private Binder identity relay to requested package-state/HOME sink,CONFIRMED private publication; SHELL ROUTE BLOCKED; ordinary target mutation not proven,no shell/private Binder identity relay to requested package-state/HOME sink,CONFIRMED private publication; SHELL ROUTE BLOCKED; ordinary target mutation not proven,CONFIRMED private publication; SHELL ROUTE BLOCKED; ordinary target mutation not proven,High within preserved evidence,"private service aliases, runtime-loaded callers and corpus outside preserved captures","no adb, Binder transaction, service call, or package mutation"
6SB,6SB-006,identity relay review,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,clearCallingIdentity/restoreCallingIdentity appears in later DPM/setup paths; no evidence it relays caller-controlled package/component/user data into User-0 HOME/package-state sink; ADD_RM bounded mutators show no relevant clear/restore edge,identity relay to requested sink not closed,NOT FOUND in preserved corpus; not a global nonexistence claim,identity relay to requested sink not closed,NOT FOUND in preserved corpus; not a global nonexistence claim,NOT FOUND in preserved corpus; not a global nonexistence claim,Medium-High,additional superclass/interface/native/reflection branches,"no adb, Binder transaction, service call, or package mutation"
6SC,6SC-1,MTK CMDQ/MDP,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:739-741,865,894-898; mdp/mdp_ioctl_ex.c:332-405,602-729",b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899,/dev/mtk_cmdq; CMDQ_IOCTL_ASYNC_EXEC -> MDP secure/readback,UNKNOWN: no direct APK/JAR or exact native open/ioctl caller; Phase 6FT only closes driver-side data-flow,Exact PS7331 ueventd rule not preserved; prior metadata crw-r--r-- system:system; vendor_file_contexts:326 mtk_cmdq_device; exact TE allow for caller not closed,"Structured user copies, secure metadata/readback, display/register/DMA effects theoretical; no framework/PMS/HOME edge",source+config+label metadata confirmed; caller/effect reachability UNKNOWN,source+config+label metadata confirmed; caller/effect reachability UNKNOWN,HIGH,UNKNOWN: no direct APK/JAR or exact native open/ioctl caller; Phase 6FT only closes driver-side data-flow,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-2,MTK accelerometer factory,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/sensors-1.0/accelerometer/accel_factory.c:35-168,202-227",b00912925e4b053f7d80e25ee01b40a70e2eccd6f6eb3db6ea7d398ff32601c,/dev/gsensor; SET_CALI/CLR_CALI/ENABLE_CALI,UNKNOWN: no source client found,Exact ueventd rule/mode not preserved; vendor_file_contexts:304 gsensor_device; exact domain allow not closed,Sensor calibration/device behavior only; no package/HOME/boot sink,source and label mapping confirmed; caller UNKNOWN,source and label mapping confirmed; caller UNKNOWN,MEDIUM,UNKNOWN: no source client found,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-3,MTK performance ioctl,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,231-232",df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09,/proc/perfmgr/perf_ioctl; proc mode 0664; read/write/ioctl/compat,UNKNOWN: no direct caller established; adjacent performanced policy is not proof of proc writer,Source declares proc mode 0664; exact init ownership join absent; Exact genfscon/TE allow not found in preserved join,FPSGO/fbc/touch-boost scheduling/resource state; no package/settings/HOME edge,writable source surface; access and caller UNKNOWN,writable source surface; access and caller UNKNOWN,MEDIUM,UNKNOWN: no direct caller established; adjacent performanced policy is not proof of proc writer,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-4,MTK M4U,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809,2220-2270",6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6,/proc/m4u; active proc registration; /dev/m4u branch inactive,UNKNOWN: no source userspace caller found,proc_create mode 0; no ueventd rule for active proc entry preserved; No exact genfscon/TE allow join preserved,"MVA allocation, port configuration, monitor/power and translation-fault/IOMMU state theoretical",source-only/access/caller UNKNOWN; mode is not a vulnerability,source-only/access/caller UNKNOWN; mode is not a vulnerability,MEDIUM,UNKNOWN: no source userspace caller found,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-5,ION,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c:1502-1658,1906-1956; ion/mtk/ion_drv.c:428-492,703-736",abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63,/dev/ion; alloc/free/map/share/import/sync/custom ioctl,"Native graphics/camera/codec/media symbols exist, but exact open/ioctl caller and ordinary APK/JAR caller UNKNOWN; 307 APK/JAR scan had no direct marker",Prior metadata mode 0666 owner system:graphics; exact ueventd rule not preserved; vendor_file_contexts:198 ion_device; plat_sepolicy.cil:10162 shell allow; policy is not live operation proof,Memory/DMA/buffer sharing effects theoretical; no PMS/ATMS/HOME edge,source+config+label+policy confirmed; exact caller/effect UNKNOWN,source+config+label+policy confirmed; exact caller/effect UNKNOWN,HIGH,"Native graphics/camera/codec/media symbols exist, but exact open/ioctl caller and ordinary APK/JAR caller UNKNOWN; 307 APK/JAR scan had no direct marker","source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-6,MTK RPMB / rpmb_svc,"platform/kernel/mediatek/mt8183/4.4/drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776",a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5,"MTK RPMB char path; /dev/rpmb0,/dev/emmcrpmb0 and RPMB block paths","rpmb_svc binary exists in preserved inventory, but source-to-service open/ioctl edge UNKNOWN","vendor_file_contexts:430,627,650; exact ueventd ownership/mode not preserved; Labels rpmb_block_device/teei_rpmb_device; rpmb_svc tee_exec; service-to-driver allow/caller UNKNOWN",Authenticated persistent storage; boot/policy/identity effects theoretical,source+labels+binary presence; caller/effect UNKNOWN,source+labels+binary presence; caller/effect UNKNOWN,MEDIUM,"rpmb_svc binary exists in preserved inventory, but source-to-service open/ioctl edge UNKNOWN","source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-7,Amazon IDME,"platform/device/amazon/kernel/driver/amzn_idme.c:62-71,319-351",ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e,/proc/idme/<field>; IDME block/HAL-adjacent entries,IDME HAL binary/context exists; exact /proc/idme read caller UNKNOWN,Proc source masks write bits; exact ueventd/init rule not preserved; proc_idme fs type; vendor_file_contexts:687 labels idme_block_device; exact read caller allow UNKNOWN,Read-only product/calibration/identity disclosure; no userspace write fop/state-writer edge,read-only bounded negative for direct write; caller/read reachability partially UNKNOWN,read-only bounded negative for direct write; caller/read reachability partially UNKNOWN,HIGH,IDME HAL binary/context exists; exact /proc/idme read caller UNKNOWN,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-8,Amazon diagnostic/test proc,platform/device/amazon/kernel/driver/amzn_drv_test.c:747-812; 681-682,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,"/proc/amzn_drvs/{sign_of_life,idme,logger}; decimal proc write dispatcher",UNKNOWN: no client; final config has # CONFIG_AMZN_DRV_TEST is not set; shipped module/node unproven,Source requests 0644; exact init/ueventd/final proc policy not preserved; Exact file-context/genfscon/TE allow not preserved,Source labels factory-reset/OTA special-mode/RTC test controls; conditional on build/delivery/authorization,conditional source-only; not shipped-confirmed; metadata is not vulnerability,conditional source-only; not shipped-confirmed; metadata is not vulnerability,HIGH,UNKNOWN: no client; final config has # CONFIG_AMZN_DRV_TEST is not set; shipped module/node unproven,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-9,Amazon metrics diagnostic,platform/device/amazon/kernel/driver/amzn_logger.c:698-738; Documentation/amazon_logger.txt:104-109,9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd,/dev/metrics and /dev/vitals; read/poll only,UNKNOWN: no direct package/client caller established,Exact ueventd mode/owner not preserved; Exact file-context/TE allow not preserved,Metrics/logging read state only; no write fop or package/HOME sink,source+config confirmed; caller and installed node policy UNKNOWN,source+config confirmed; caller and installed node policy UNKNOWN,HIGH,UNKNOWN: no direct package/client caller established,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-10,Amazon lifecycle diagnostic,"platform/device/amazon/kernel/driver/amzn_sign_of_life.c:255-265,277-370",87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419,/proc/life_cycle_reason; read-only proc,"UNKNOWN: no userspace write caller; setters are kernel APIs, not proc write callbacks",Source mode 0444; exact init/ueventd not applicable/preserved; proc genfscon not separately preserved,Read-only lifecycle telemetry; kernel-originated reasons separate from userspace caller,read-only bounded negative for direct userspace write,read-only bounded negative for direct userspace write,HIGH,"UNKNOWN: no userspace write caller; setters are kernel APIs, not proc write callbacks","source-only; no device node, ioctl, Binder, or diagnostic operation"
6SC,6SC-11,MTK GED reference boundary,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_main.c:340-344,411",95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5,/proc/ged; reference surface for caller/effect comparison,Known saved caller is shell UID 2000/u:r:shell:s0 for query-only telemetry; no ordinary-app caller,Source mode 0644; exact ueventd not applicable; proc_ged label and shell query evidence preserved in Phase 6IS,Query telemetry only; no Framework/PMS/HOME edge,confirmed shell telemetry boundary; not sensitive effect,confirmed shell telemetry boundary; not sensitive effect,HIGH,Known saved caller is shell UID 2000/u:r:shell:s0 for query-only telemetry; no ordinary-app caller,"source-only; no device node, ioctl, Binder, or diagnostic operation"
6SD,6SD-OTA-01,DeviceSoftwareOTA OtaService -> OTA controller methods,findings/phase-6j-ota-apk-deep-review.md; findings/phase-6kt-recovery-verifier-provenance.md; work/luna_worker_ota_canonicalization_provenance_20260810.md,,privileged OTA lifecycle/client; production ordinary caller not found,com.amazon.dcp.ota.permission.CONTROLLER; signature|privileged; OTA package is /system/priv-app,metadata/sanity -> recovery/package verification -> device/product/PVT checks -> hash/battery/space/state checks; staging uses basename plus FileHelper.moveFile; no Java canonicalPath/NOFOLLOW marker; helper/native semantics UNKNOWN,UpdateSystem.install -> recovery/update-binary capability,No evidence of ordinary app/shell reachability,PRIVILEGED_CAPABILITY_ONLY; caller-to-sink not established,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-OTA-02,OSUpdateValidator/SideloadVerifier verification,findings/phase-6j-ota-apk-deep-review.md:3.1-3.2; findings/phase-6kt-recovery-verifier-provenance.md,,DeviceSoftwareOTA privileged path; external caller to verifier not established,controller/privileged app context; RecoverySystem.verifyPackage delegated platform verifier,hash -> RecoverySystemWrapper.verifyPackage -> OSUpdatePropertiesValidator; sideload metadata and sanity checks precede recovery check; FileHelper/staging canonicalization and recovery verifier implementation UNKNOWN; no symlink test,Recovery/package signature-integrity boundary before install,No untrusted app/shell route shown,VERIFIER_GATE_CONFIRMED_NATIVE_HANDOFF_UNKNOWN,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-OTA-03,SideloadInstaller -> SideloadMover -> UpdateSystemWrapper,findings/phase-6kt-recovery-verifier-provenance.md; work/luna_worker_ota_recovery_handoff_followup_20260810.md,,Sideload installer/internal OTA controller; ordinary caller not proven,CONTROLLER plus privileged OTA package; install branch calls verifySideloadWithoutRecoveryCheck after prior flow,basename destination; renameTo then copy/delete fallback; canonicalization flags/context/atomicity UNKNOWN,UpdateSystem.install handoff,No evidence of shell/ordinary-app input reaching handoff,REACHABILITY_UNKNOWN_NOT_BYPASS,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-OTA-04,recovery/update-binary main -> Edify registry -> extraction,findings/phase-6md-native-updater-path-audit.md; findings/phase-6mm-updater-blockimage-closure.md; work/luna_worker_ota_postinstall_followup_20260810.md,,Recovery/update-binary context; exact native caller provenance not recovered,privileged recovery identity; updater registry 24/24 static registrations,script member names and fixed destinations; path markers symlink_realpath/readlinkat/readlink present; selected CFG has no direct canonicalization-to-write edge; indirect/unselected dataflow UNKNOWN,PackageExtractFileFn -> ota_open/open; extraction/fsync/close,No shell/ordinary-app caller evidence; binary never executed,CAPABILITY_CONFIRMED_CALLER_UNKNOWN,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-OTA-05,recovery/update-binary block-image/partition writer,findings/phase-6md-native-updater-path-audit.md; findings/phase-6kt-recovery-verifier-provenance.md,,recovery/update-binary invoked by authorized recovery path; exact caller UNKNOWN,recovery/high-privilege context; updater-script fixed system/vendor/boot/firmware by-name targets,VerifyBlocks-related branches observed; selected direct graph shows path markers but no complete indirect CFG/dataflow; no traversal/symlink input,PerformBlockImageUpdate -> open/chown/rename; WriteToPartition -> ota_open/ota_write -> write,No evidence from shell/ordinary app to writer,STATIC_CAPABILITY_ONLY; not exploit evidence,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-OOBE-01,AmazonPackageManagerService.onBootPhase(550) -> BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver,findings/phase-6j-oobe-ota-review.md; findings/phase-6q-bootafter-system-ota.md; findings/phase-6mo-oobe-context-user-scope.md,,system_server upgrade lifecycle; ordinary broadcast sender not proven,protected RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon plus isUpgrade/phase-550 sender gate,"action/phase/upgrade predicate; receiver checks action, OOBE-running, retail_demo_mode and shared preferences; Context-derived receiver user; exact post-OTA numeric user UNKNOWN",enable OobeHomeActivity and write OOBE setup flags,No untrusted app/shell route established; no broadcast replay,PROTECTED_LIFECYCLE_SINK; not normal HOME API,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-OOBE-02,BootAfterSystemOTAReceiver OOBE side effects,findings/phase-6j-oobe-ota-review.md; findings/phase-6my-ota-receiver-package-helper-closure.md; work/luna_worker_phase6mn_inventory_20260810.md,,system_server protected delivery,receiver action protected by RECEIVE_BOOT_AFTER_SYSTEM_OTA; component declaration exported/direct-boot-aware,action and OOBE/demo/shared-pref gates; no caller-controlled package argument; PackageHelper/SettingsDBUtils semantics are static; exact user remains UNKNOWN,PackageHelper.enableComponent(OobeHomeActivity); Settings.Secure setup/OOBE writes; no Fire Launcher preferred-HOME writer,No accepted untrusted caller proven; exported metadata alone is insufficient,STATIC_SINK_CONFIRMED_CALLER_UNKNOWN,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-RCV-01,Alexa Gemini system-OTA receivers,findings/phase-6j-oobe-ota-review.md; artifacts/phase6j/ota-alexa-system-ota-device-20260805-01/,,system OTA lifecycle sender expected; arbitrary sender UNKNOWN,manifest receiver has no component permission; action is part of protected OTA lifecycle in saved evidence,action match then access-control secure-setting read/copy; no package/path/symlink input,settings synchronization only; no HOME/package-install sink shown,No proof of shell/ordinary app reaching accepted delivery; no replay,RECEIVER_VISIBLE_BUT_ACCEPTED_CALLER_UNKNOWN,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-RCV-02,TahoeUpdateReceiver MY_PACKAGE_REPLACED,findings/phase-6cg-tahoe-update-receiver-boundary.md,,PMS targeted package-replacement broadcast; arbitrary sender not shown,exported=true and no component permission; system-only action plus targetPackage=com.amazon.tahoe,action/target package plus current-account-child gate; fixed OOBE component only; no caller-supplied package/user sink; no dynamic path/symlink/metadata writer identified,Tahoe context disables OOBE component and starts MAIN/HOME transiently; no persistent HOME writer,No untrusted app/shell route demonstrated; exported flag alone is not reachability,BOUNDED_PROTECTED_SYSTEM_DISPATCH,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SD,6SD-SRC-01,Official outer source tar completeness,findings/phase-6mi-source-tar-eof.md; artifacts/phase6mi-source-tar-eof-20260810-02/source-tar-summary.csv,,not an installable OTA or runtime caller,archive metadata only; no permission context,35 members to real EOF; 23 regular/12 directories; 0 symlink/0 hardlink; no updater/recovery/post-install/partition member; no executable install sink in outer archive; launcher names only,No high-privilege executable sink observed,No caller or exploit implication,OUTER_SOURCE_BOUNDARY_CLOSED,NOT_STATED_IN_SOURCE_ROW,caller/provenance/canonicalization fields retained as stated in source row,"no OTA, recovery, updater, reboot, payload, or partition operation"
6SE,6SE-001,official outer archive completeness,work/luna_worker_phase6sa_20260810.csv,38c3e0bf48a36d6331d199a2c0b8113e6ed7262ba6a3506e43d465a3aa10cda6,overstated completeness,6SA-001 CONFIRMED_OFFICIAL,"The report explicitly says member enumeration did not reach verified EOF; artifact authenticity is supported, but archive member completeness is unresolved.",Keep official-artifact fact separate from archive-completeness status.,Unknown,Unknown,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"The report explicitly says member enumeration did not reach verified EOF; artifact authenticity is supported, but archive member completeness is unresolved.",catalog-only; no device operation
6SE,6SE-002,SideloadMover/FileHelper path handling,output/tables/phase6kt-recovery-gates.csv,bf3373539efd9a5325f34e24c9c18a52382cd5d9b22ac85bc5566bb18c4f9036,static absence treated too strongly,6SA-009 CONFIRMED_STATIC; 6KT-STAGE-001 Hypothesis,"Basename move, rename/copy fallback, and no Java canonical/NOFOLLOW marker are static sensitivity only; native behavior and crafted-path behavior are not established.","Review as hardening hypothesis, not vulnerability or caller route.",Hypothesis,Hypothesis,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"Basename move, rename/copy fallback, and no Java canonical/NOFOLLOW marker are static sensitivity only; native behavior and crafted-path behavior are not established.",catalog-only; no device operation
6SE,6SE-003,BOOT_AFTER_SYSTEM_OTA to OOBE component/settings sinks,work/luna_worker_phase6rx_20260810.csv,0b00714ae3fc01c954aea9cdedcc8d39331f822abb2d790eb32eaad77fd0dc5c,sink vs reachability conflation,6SA-013/014 CONFIRMED_STATIC; RX-01 CLOSED_FOR_ORDINARY_CALLER,"System-server lifecycle, protected broadcast, receiver sink, and setup writes are strongly evidenced; exact numeric user and ordinary sender reachability remain unresolved.","Retain sink as confirmed static fact, but classify low-privilege route only as not closed.",Strong evidence,Strong evidence,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"System-server lifecycle, protected broadcast, receiver sink, and setup writes are strongly evidenced; exact numeric user and ordinary sender reachability remain unresolved.",catalog-only; no device operation
6SE,6SE-004,CMDQ/MDP appdomain and ioctl surface,work/luna_worker_phase6qe_driver_policy_20260810.csv,a6948b87852491dd5af9dc7d231db1cbb724de1eec9a66e7bdd8a29a5e087dca,policy capability overread,6RY row 1 source+config confirmed; 6QE policy-capability,"Source has ioctl/user-copy paths and policy contains appdomain read/ioctl, but exact client, node access, SELinux runtime route, and sensitive effect are not joined.",Do not call ordinary-app reachability confirmed; complete static client/domain join only.,Unknown,Unknown,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"Source has ioctl/user-copy paths and policy contains appdomain read/ioctl, but exact client, node access, SELinux runtime route, and sensitive effect are not joined.",catalog-only; no device operation
6SE,6SE-005,gsensor factory 0666 policy stanza,work/luna_worker_phase6qe_driver_policy_20260810.csv,a6948b87852491dd5af9dc7d231db1cbb724de1eec9a66e7bdd8a29a5e087dca,retail/factory branch conflation,6QE policy-capability; factory-conditional,"Factory init contains a 0666 setup, while normal init is 0660 radio:system; the saved corpus does not prove the factory branch is active on retail image.",Keep conditional source/policy candidate; do not infer shipped writable node.,Hypothesis,Hypothesis,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"Factory init contains a 0666 setup, while normal init is 0660 radio:system; the saved corpus does not prove the factory branch is active on retail image.",catalog-only; no device operation
6SE,6SE-006,amzn_drv_test factory-reset/RTC dispatcher,work/luna_worker_gpl_driver_surface_inventory_20260810.csv,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f,shipped-path overclaim,6RZ row 12 high-impact conditional; 6QE bounded-negative image marker,"The source dispatcher exists, but trona defconfig omits CONFIG_AMZN_DRV_TEST and the saved Image audit found no matching marker; this disproves a confirmed shipped retail route, not source existence.",Record as conditional source surface only.,Disproved,Disproved,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"The source dispatcher exists, but trona defconfig omits CONFIG_AMZN_DRV_TEST and the saved Image audit found no matching marker; this disproves a confirmed shipped retail route, not source existence.",catalog-only; no device operation
6SE,6SE-007,Amazon PM metadata/flags mutators tx1/2/4/5,work/luna_worker_phase6ry_20260810.csv,15ccdb6a9dbd6b2c851502bf29b85f9cefb9634ba42fc6b10887d551f96d6fbb,caller/holder/source gap,6RV STATIC_ONLY + UNKNOWN HOLDER; 6RY STATIC HOLDER/CALLER UNKNOWN,"Permission check, explicit userId, and XML sink are static; exact holder, production caller, cross-user acceptance, and first sensitive consumer are not closed.",Do not promote generated Proxy/Stub or facade to reachable privilege route.,Unknown,Unknown,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"Permission check, explicit userId, and XML sink are static; exact holder, production caller, cross-user acceptance, and first sensitive consumer are not closed.",catalog-only; no device operation
6SE,6SE-008,KFT launcher component writer as broad HOME/User-0 route,work/luna_worker_phase6rv_20260810.csv,15ccdb6a9dbd6b2c851502bf29b85f9cefb9634ba42fc6b10887d551f96d6fbb,scope overclaim,6RV-009/011 static child caller; 6RW-014 confirmed,The preserved writer targets supplied child/profile UserInfo.id and Fire/Tahoe/Launcher3 component state; no broad User-0 selector or formal HOME writer is closed.,Keep child-scoped writer confirmed; mark broad User-0/HOME claim disproved within reviewed corpus.,Disproved,Disproved,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,The preserved writer targets supplied child/profile UserInfo.id and Fire/Tahoe/Launcher3 component state; no broad User-0 selector or formal HOME writer is closed.,catalog-only; no device operation
6SE,6SE-009,native extraction/block-image/partition sinks,work/luna_worker_phase6sa_20260810.csv,38c3e0bf48a36d6331d199a2c0b8113e6ed7262ba6a3506e43d465a3aa10cda6,missing exact source/hash in ledger,6SA-006/007 CONFIRMED_STATIC,The 6SA CSV cites only “Phase 6MD/6QC native audit” for rows 006/007 and supplies no exact file path or input hash in those rows; sink fact is supported elsewhere but provenance is not row-complete.,Join exact native CSV/disassembly path and hash before final catalog integration.,Unknown,Unknown,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,The 6SA CSV cites only “Phase 6MD/6QC native audit” for rows 006/007 and supplies no exact file path or input hash in those rows; sink fact is supported elsewhere but provenance is not row-complete.,catalog-only; no device operation
6SE,6SE-010,Recovery verifier and install handoff,output/tables/phase6kt-recovery-gates.csv,bf3373539efd9a5325f34e24c9c18a52382cd5d9b22ac85bc5566bb18c4f9036,boundary misread as ordinary caller,6SA-010/011 CONFIRMED_STATIC; 6KT VERIFY/HANDOFF Confirmed,"Java wrapper-to-verifier and UpdateSystem.install handoff are well supported, but native verifier implementation and ordinary-app/shell caller chain are absent.",Integrate as privileged capability with no untrusted caller proof.,Probable,Probable,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,"Java wrapper-to-verifier and UpdateSystem.install handoff are well supported, but native verifier implementation and ordinary-app/shell caller chain are absent.",catalog-only; no device operation
6SE,6SE-011,raw CSV syntax malformed,work/luna_worker_phase6sa_20260810.csv,38c3e0bf48a36d6331d199a2c0b8113e6ed7262ba6a3506e43d465a3aa10cda6,negative audit result,Ruby CSV parse: no errors; no row field-count mismatch,All scoped CSV files parsed successfully and each data row matched its header width. This is a negative result; semantic incompleteness remains in other rows.,Do not report a malformed raw CSV without a new parser failure; audit schema semantics separately.,Disproved,Disproved,REVIEW_CLASSIFICATION_NOT_CONFIDENCE,All scoped CSV files parsed successfully and each data row matched its header width. This is a negative result; semantic incompleteness remains in other rows.,catalog-only; no device operation
