surface_family,source_csv,source_sha256,ID,status,source path,line or offset,caller,gate,identity,user scope,sink,remaining unknown,route_id,package,component,type,exported,component_permission,action_or_input,exact_manifest_evidence,static_sink,home_package_state_ota_relation,authorization_status,classification,source_evidence,surface,source_registration_and_abi,config_scope,extracted_policy_or_node_join,exact_shipped_native_caller,completeness_result,notes,item_id,area,what_is_supported,primary_citations,what_is_not_supported,safe_repeatability,risk_or_citation_gap
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-11,driver/node policy,Exact-device node metadata/labels/SELinux context and static driver policy/source closure artifacts exist; QE metadata explicitly says no node open and no driver data read.,adb/phase6qe/PHASE6QE-DEVICE-READONLY-20260810-02/; work/luna_worker_phase6qe_driver_policy_20260810.md; artifacts/phase6nb-amzn-drv-test-source-closure-20260810-02/; findings/phase-6sb-se-report.md,"Exact native client, active retail branch, ioctl behavior, handoff and sensitive effect remain UNKNOWN.",YES: compare saved stat/label/property outputs and host-side source/policy joins.,"No driver open/read/write/ioctl, procfs access beyond saved metadata, kernel/root/remount."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-12,root/exploit,The mtk-easy-su APK was installed/launched; Root control stopped at warning/preflight and a later observation did not prove privilege transition.,findings/phase-5-mtk-easy-su-apk-test.md; findings/phase-5-mtk-easy-su-root-test.md; findings/phase-5-mtk-easy-su-root-followup.md; adb/phase5/MTK-EASY-SU-APK-T01/,"No uid=0, successful su -c id, permissive SELinux, Magisk, bootloader unlock or partition mutation was observed.",NO: do not repeat device-side Root flow; YES for offline payload/source review.,Root button/opaque payload execution and any exploit retry were explicitly risk-rejected or stopped.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-13,Phase 5 low-level/CVE routes,"Existing reports cover source/config/compatibility, futex/CMDQ/MTK and OTA/boot boundary reviews; some controlled read-only/runtime gates exist.",findings/phase-5-level3-approval-report.md; findings/phase-5-low-level-inventory.md; findings/phase-5-h-cmdq-ioctl-compat-level3-report.md; findings/phase-5-exact-ota-and-boot-chain-evidence.md,No successful privilege transition or sensitive sink chain follows from source capability alone.,YES: host-side source/member/hash/config comparisons.,"Kernel exploit, ioctl, recovery, flash, crafted payload and partition operations are not repeatable under this audit."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-14,Phase 6QE–6QF runtime closure,Existing worker reports reconcile package/KFT/DPM/Accessibility/service/OOBE/driver evidence and preserve UNKNOWN edges; QE metadata has 12-command exact-device read-only anchor.,work/luna_worker_phase6qf_existing_runtime_audit_20260810.md; findings/phase-6qe-report.md; findings/phase-6qf-report.md,No ordinary app/shell to trusted identity to HOME/package/root chain is closed.,"YES: validate the existing matrix, hashes, paths and static joins.",Do not mislabel mutation captures as current authorization or rerun excluded tests.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-15,Phase 6RS–6SQ closure,"Settings/PMS, SystemUI callback, rootless fallback, IPC/OTA/driver and HOME/PMS writer reports retain bounded negative conclusions; KFT remains child/profile-scoped.",findings/phase-6rs-ru-report.md; findings/phase-6rv-rx-report.md; findings/phase-6sb-se-report.md; findings/phase-6sf-si-report.md; findings/phase-6sj-sm-report.md; findings/phase-6sn-sq-report.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md,"Caller/holder/user mapping, native aliases, exact retail joins and natural lifecycle evidence remain incomplete.",YES: host-only report/raw/hash and source-to-caller/policy/data-flow joins.,"No new device runtime, unknown Binder, OTA, driver, package state, user lifecycle or root work."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-16,read-only reproducibility,"README and existing worker catalogs identify safe host-only checks: hash/schema/path validation, saved snapshot comparison, static CFG/source joins and archive provenance.",README.md; work/luna_worker_phase6si_test_catalog_20260810.md; work/luna_worker_phase6sm_test_catalog_20260810.md; findings/phase-6sf-si-report.md,"A host-only check cannot reproduce a writer, accepted identity, lifecycle event or post-OTA runtime effect.","YES, subject to no overwrite and no device connection.",Any script whose default path invokes adb must not be run; use parser/dry-run/read-only modes only.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,未做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-17,not performed in Phase 6SX,"No adb, device connection, Binder transaction, driver operation, OTA/recovery/updater action, reboot, package/settings mutation or root action was performed for this audit.",This report; findings/phase-6sn-sq-report.md; work/luna_worker_phase6qf_existing_runtime_audit_20260810.md,Fresh current-state evidence was not collected; catalog relies on existing repo evidence.,YES: continue host-only audit only.,Explicit user boundary prohibits replay; no claim of fresh runtime observation.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,不可重做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-18,cannot safely replay historical runtime,"Historical mutation/HOME/component/package tests, child lifecycle, accessibility harness and reboot runs already have evidence and rollback/guard records.",adb/mutation-tests/; adb/home-key-tests/; adb/home-settings-tests/; adb/component-tests/; adb/phase6cm/; findings/phase-3c-report.md; PROJECT_STATUS.md,Replaying would add state change or depend on exact prior user/device conditions and would not close current caller gaps.,NO runtime replay; YES artifact verification.,"Do not reboot, switch users, change HOME/package/component state or alter secure settings."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,因風險拒絕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-19,risk-rejected high-impact operations,"Reports explicitly reject unknown/private Binder, protected broadcast, driver open/ioctl, OTA/recovery/updater, crafted archive, root/exploit, remount/SELinux and partition mutation.",findings/phase-6qf-report.md; findings/phase-6sf-si-report.md; findings/phase-6rs-ru-report.md; findings/phase-6sn-sq-report.md; README.md,There is no negative runtime result for these operations; only a deliberate safety boundary.,NO; only offline evidence review is safe.,Do not interpret refusal as disproval or absence of a vulnerability.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,引用缺口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-20,citation gaps,"Reports preserve the main bounded conclusions but several edges lack exact raw line/caller UID, holder/grant provenance, numeric user mapping, native alias, or post-OTA state.",work/luna_worker_phase6qe_existing_tests_20260810.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md; findings/phase-6sn-sq-report.md,Missing citations prevent upgrading UNKNOWN to Confirmed and do not authorize risky probes.,YES: fill with existing-file existence/hash checks and offline source-to-caller joins.,Remain UNKNOWN until exact evidence is found; no inference from static capability or service visibility.
