surface_family,source_csv,source_sha256,source_row,group,registered_entrypoint,caller_or_trigger,gate,identity_user_scope,sink_or_effect,verdict,evidence,finding_id,area,conclusion,status,evidence_file,line_or_address,sha256,unknown_or_limit,surface,result,source_config,dt_init_ueventd_file_contexts_vendor_te,built_in_or_module,exact_native_apk_caller,package_home_privilege_sink,unknown_boundary,evidence_sha256,Test ID,Phase scope,Route/test family,Whether state truly changed,Whether sustainable,Failure reason,Already excluded,Next safe minimum verification,Original evidence paths,Original evidence SHA-256,id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,confidence,unknowns
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,2,,,,,,,,,,,,,,,,,,,,,,,,,,P3A-HOME-RESOLVER,3A,HOME resolver baseline,no (read-only),not applicable,Fire priority/ranking does not identify restoration writer,no—canonical baseline,offline compare saved resolver outputs and hashes,findings/phase-3a-report.md; findings/phase-3b-report.md; adb/phase3b/,findings/phase-3a-report.md=f6bc39d82c3fc273079702211979f739621039a94bed6cf8513b2596f2c3cc9d,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,3,,,,,,,,,,,,,,,,,,,,,,,,,,P3C-PREFERRED,3C,preferred HOME/set-home mutation,yes historically,not sustainable,preferred record did not defeat Fire; rollback/final guard restored baseline,yes—no setter replay,verify saved before/after/reboot/rollback only,findings/phase-3c-report.md; adb/phase3c/; adb/mutation-tests/HOME-PRIORITY-P0/,findings/phase-3c-report.md=04521a0df702aee9d24164e5ff2de1a4576993a483da1103a51e78f770b2446d,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,4,,,,,,,,,,,,,,,,,,,,,,,,,,P4B-ACCESSIBILITY,4B-5,Accessibility redirect/workaround,yes historically (foreground/settings),not sustainable,0/30 direct-start; fallback has consent/timing/ADB gates and no HOME writer,yes—no enable/replay/reboot,offline align saved timestamps foreground HOME rollback,findings/phase-4b-final-workaround-verdict.md; adb/phase4/PHASE4-ACCESSIBILITY-T03/; adb/phase6iq/,findings/phase-4b-final-workaround-verdict.md=0eeec6f26f77d5bfcccbc34e7a976532ada7acb78538395853fc85a8378d7eb6,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,5,,,,,,,,,,,,,,,,,,,,,,,,,,P5-PI-UNTRUSTED,5-6A,untrusted PendingIntent/cross-user smoke,no durable mutation shown,not established,protected identity/cross-user/lock route not reached; private Binder out of scope,yes—negative scope only,offline caller/permission matrix and hash check,findings/phase-6a-untrusted-app-pi-smoke-evidence-index.md; artifacts/phase6a/,findings/phase-6a-untrusted-app-pi-smoke-evidence-index.md=4c3f35d7147e3785e82621c86fbd39463d7a39140704cfc9cad80cd2c8d471e2,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,6,,,,,,,,,,,,,,,,,,,,,,,,,,P5-PACKAGE-GATES,5,Fire package/component gates,no (gates rejected),not applicable,protected-package or shell permission gates rejected changes before durable mutation,yes—no setter replay,parse saved exit codes and package-HOME guards,findings/phase-5-adb-surface-tests.md; adb/mutation-tests/,findings/phase-5-adb-surface-tests.md=870d90245a6f4221345b9eb57e86568ba485ee16d147764db4683c6cb731c282,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,7,,,,,,,,,,,,,,,,,,,,,,,,,,P5-ROOT-FUTEX,5,root/PI-futex/rtmutex/low-level,no approved device mutation,not applicable,source/config/probes do not close caller-to-sensitive-sink or retail privilege transition,yes—exploit/root/payload excluded,offline source config patch-chain hash comparison,findings/phase-5-evidence-index.md; output/tables/phase5cn-futex-feature-gate.csv; output/tables/phase5dd-native-futex-summary.csv,findings/phase-5-evidence-index.md=74417961d2352883022fd69306b131dfd374e650bfc14f5238055cbf817128b9,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,8,,,,,,,,,,,,,,,,,,,,,,,,,,P5-OTA-BOUNDARY,5,OTA/recovery/boot/root boundary,no OTA/recovery/partition execution,not applicable,official fixed-image path and native handoff not ordinary caller sink,yes—OTA/recovery/partition/root replay excluded,offline metadata EOF provenance and manifest review,findings/phase-5-exact-ota-and-boot-chain-evidence.md; adb/phase5/PHASE5AU-; output/tables/phase5ax/5bd/5ba/,findings/phase-5-exact-ota-and-boot-chain-evidence.md=9faf81b9bc8625b52e377b290da3054fd29b60d82fe6fdf37df90dc7bf9265f1,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,9,,,,,,,,,,,,,,,,,,,,,,,,,,P6-CHILD-KFT,6AY-6ER,child user/Tahoe/KFT lifecycle,yes historically (child/profile),yes only target child/profile,writer follows UserInfo; switch-back/final guard preserved User-0 Fire,yes—no child replay/private tx,compare saved user IDs package HOME and static caller paths,findings/phase-6ay-kft-child-user-evidence-index.md; findings/phase-6er-kft-child-switch-attribution.md; adb/phase6bk/; adb/phase6cb/; adb/phase6di/,findings/phase-6ay-kft-child-user-evidence-index.md=fb98b6a05b2966258454aa3ea58aaadefb9c4f04e14ecbf0592e61858611a2ad; findings/phase-6er-kft-child-switch-attribution.md=926dd8158f664889dbae58a4d9980fed7f816f222dbbfbb03659c5422290f4af,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,10,,,,,,,,,,,,,,,,,,,,,,,,,,P6-KFT-SERVICE,6AY-6BK,private KFT service visibility,no (lookup only),not applicable,shell lookup did not yield callable handle; no transaction issued,yes—unknown Binder code prohibited,map registration/classes and permissions offline; no service call,adb/phase6bk/PHASE6BK-SERVICE-RO-20260810-01/; adb/phase6q/,findings/phase-6er-kft-child-switch-attribution.md=926dd8158f664889dbae58a4d9980fed7f816f222dbbfbb03659c5422290f4af,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,11,,,,,,,,,,,,,,,,,,,,,,,,,,P6-HOME-REGRESSION,6AJ-6DI,HOME/preferred/force-stop/reboot guard,yes historically bounded,not sustainable replacement,Fire remained resolver winner; package gates rejected changes,yes—duplicate/closed; no replay,review saved tables/manifests and canonical capture,adb/phase6di/; adb/phase6ex/; adb/phase6fa/; output/tables/phase6tv-test-reconciliation.csv,output/tables/phase6tv-test-reconciliation.csv=1719af265fba6f101b24e3f237502822b00998da054e50e5d33e552103cbf5ba,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,12,,,,,,,,,,,,,,,,,,,,,,,,,,P6-ACCESS-ADB,6CV-6CY-6IQ,ADB monitor/Accessibility foreground redirect,yes historically foreground/settings,not sustainable,Microsoft foreground while resolver remains Fire; persistence not formalized,yes—temporary fallback; no replay,offline inspect existing result rollback hash timing,findings/phase-6iq-adb-foreground-fallback.md; adb/phase6iq/PHASE6IQ-ADB-MONITOR-20260807-05/,findings/phase-6iq-adb-foreground-fallback.md=8074cdbad18e498b49415ccdaa6b5ecfbfa5ad3813d7e6e18ee1ac6599b255d9,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,13,,,,,,,,,,,,,,,,,,,,,,,,,,P6-DPM,6DI-6DT,DPM/Profile Owner/backup passive,yes historically bounded,not sustainable ordinary caller,owner/admin/UID gates held; no owner provision/removal or active restore writer,yes—private transactions excluded,offline search preserved manifests/caller graphs,findings/phase-6di-kft-dpm-backup-passive.md; adb/phase6dt/; adb/phase6di/,findings/phase-6di-kft-dpm-backup-passive.md=801bf33635a8ffb5af57a98e1cbaaf4af526043a3042634b47cdd931c84c4927,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,14,,,,,,,,,,,,,,,,,,,,,,,,,,P6-SETTINGS-OVERLAY,3C-6,Settings/default-home/overlay,not proven (resource/UI only),not established,UI/resource surfaces did not prove runtime selection or unindexed writer,yes—no UI dispatch/settings mutation,offline exact-build resource/overlay/UI diff,findings/phase-6rs-ru-report.md; artifacts/settings/; artifacts/overlays/,findings/phase-6rs-ru-report.md=525042c0378c128161d8be8163e516b969eed633640544a3a77dbf4802494a0f,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,15,,,,,,,,,,,,,,,,,,,,,,,,,,P6-BINDER-H2,6TM-A,custom H2 BIND_SERVICE provenance,no (host-only),not applicable,signature gate confirmed; holder/grant/requester/caller and HOME sink unknown,yes—no bind/call or guessed code,premain offline owner/request/signature/user/sink join,work/luna_worker_phase6tm_h2_permission_20260810.csv,work/luna_worker_phase6tm_h2_permission_20260810.csv=3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,16,,,,,,,,,,,,,,,,,,,,,,,,,,P6-BINDER-VISIBILITY,6BK-6BD,service list/check/find IPC boundary,no (read-only),not applicable,visibility is not method reachability; identity and downstream sink absent,yes—no unknown Binder transaction,compare saved AVC/service outputs and registration classes,adb/phase6q/; adb/phase6bd/; output/tables/phase6q-binder-service-matrix.csv,findings/phase-6qe-evidence-index.md=9d7422fc5299f5b73eb25fee43f3e95cddd7869b25f270181ccf06f144ad0ed5,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,17,,,,,,,,,,,,,,,,,,,,,,,,,,P6-OTA-OOBE,6R-6U-6MN,OTA/OOBE/BootAfterSystemOTA,no (static/read-only),not applicable,protected/signature/phase gates; exact user/native handoff/caller absent,yes—no broadcast/Binder/OTA/reboot delivery,offline source/context/user join,findings/phase-5-exact-ota-and-boot-chain-evidence.md; artifacts/phase6u/; adb/phase6q/,findings/phase-5-exact-ota-and-boot-chain-evidence.md=9faf81b9bc8625b52e377b290da3054fd29b60d82fe6fdf37df90dc7bf9265f1,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,18,,,,,,,,,,,,,,,,,,,,,,,,,,P6-DRIVER-ION,6QE-6RY-6SB,driver policy/source/CMDQ/MDP/ION,no (host-only),not applicable,conditional source/policy/ELF edges are not retail node access/active branch/effect,yes—no node open/read/write/ioctl,perform offline image DT_NEEDED/relocation/domain policy join,findings/phase-6qe-evidence-index.md; findings/phase-6sb-se-report.md; work/luna_worker_phase6tn_ion_loader_graph_20260810.csv; adb/phase6qe/,findings/phase-6qe-evidence-index.md=9d7422fc5299f5b73eb25fee43f3e95cddd7869b25f270181ccf06f144ad0ed5; findings/phase-6sb-se-report.md=46ad0c82a0c3ef4fea5da453d2153bdf994784a5def3d5f443b7b27f93370021; work/luna_worker_phase6tn_ion_loader_graph_20260810.csv=567ab073bbdbe2d4b7bba938236161902180f253ae7ecf687ed257febb952ae6,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,19,,,,,,,,,,,,,,,,,,,,,,,,,,P6-UPDATER,6AE-6MK-6NE-6MM,updater/block-image/cache/dispatch,no (static),not applicable,caller authorization runtime traversal and partition effect unproven,yes—no updater/recovery/partition execution,offline archive EOF/source CFG/caller provenance,artifacts/phase6mm-updater-blockimage-20260810-01/; artifacts/phase6mk-updater-dispatch-20260810-04/; artifacts/phase6ne-updater-cache-flow-20260810-03/,work/luna_worker_phase6tm_ota_public_repair_20260810.csv=4099f4aff88c6ae340f202a36985ff9ad77440d24d48cd444ea8cb395e037618,,,,,,,,,,,,,,
6VD existing-test reconciliation,work/luna_worker_phase6vd_test_reconciliation_20260810.csv,78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e,20,,,,,,,,,,,,,,,,,,,,,,,,,,P6-GLOBAL-GAP,3A-6UR,cross-route caller-gate-sink closure,no new state,not applicable,no bounded test closes ordinary app/shell to accepted identity then User-0 HOME/package/root/partition sink,yes—summary only; no replay,host-only path/schema/hash/reference checks,work/luna_worker_phase6tr_test_reconciliation_20260810.csv; work/luna_worker_phase6sx_evidence_audit_20260810.csv,work/luna_worker_phase6tr_test_reconciliation_20260810.csv=04c49baf1fd96f32a5497022d43486b6651f4f1a0656c46ab52f4786cf728cd3; work/luna_worker_phase6sx_evidence_audit_20260810.csv=c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,,,,,,,,,,,,,
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,2,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-001,com.amazon.android.internal.server.input.keymapping.appadapter.AppAdapterHandler,setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,26056/IP=0x02ab0c,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,UNKNOWN; PMS enabled-state validation,AppAdapterHandler,UNKNOWN,fixed registration component com.amazon.tv.oobe/.RegistrationActivity,static direct,transaction and gate details UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,3,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-002,com.amazon.android.modeswitch.service.GeminiHandler,setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,30354/IP=0x02e92e,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,UNKNOWN; PMS enabled-state validation,GeminiHandler,UNKNOWN,com.amazon.alexa.multimodal.gemini; com.amazon.knight.blink.BlinkNotificationListenerService,static direct,caller/data-flow and exact transaction UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,4,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-003,AmazonUserManagerService$BinderService,KFT component enable/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54310/IP=0x04320a,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,private Amazon user manager service,private service; KFT/profile lifecycle; PMS validation,AmazonUserManagerService.BinderService,UserInfo.id child/profile,com.amazon.tahoe.launcher.FreeTimeLauncherActivity,static direct,Amazon interface descriptor/tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,5,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-004,AmazonUserManagerService$BinderService,KFT app enable com.amazon.firelauncher/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54318/IP=0x043228,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,private Amazon user manager service,private service; KFT/profile lifecycle; PMS validation,AmazonUserManagerService.BinderService,UserInfo.id child/profile,com.amazon.firelauncher,static direct,Amazon interface descriptor/tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,6,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-005,AmazonUserManagerService$BinderService,KFT app enable com.android.launcher3/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54324/IP=0x043242,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,private Amazon user manager service,private service; KFT/profile lifecycle; PMS validation,AmazonUserManagerService.BinderService,UserInfo.id child/profile,com.android.launcher3,static direct,Amazon interface descriptor/tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,7,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-006,EspressoShotCallback,disableBootCompleteReceivers/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,191881/IP=0x0cf22a,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,metadata/permission gated,EspressoShotCallback,UNKNOWN,boot-complete receiver component,static direct,exact gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,8,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-007,EspressoShotCallback,reEnableBootCompleteReceivers/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,192065/IP=0x0cf314,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,metadata/permission gated,EspressoShotCallback,UNKNOWN,boot-complete receiver component,static direct,exact gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,9,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-008,EnableDisableComponentAction,policy component enable/disable/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293712/IP=0x052688,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; policy-file/user-list driven,EnableDisableComponentAction,UNKNOWN,policy-selected component,static direct,Amazon interface descriptor/tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,10,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-009,EnableDisableComponentAction,policy application enable/disable/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293717/IP=0x052698,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; policy-file/user-list driven,EnableDisableComponentAction,UNKNOWN,policy-selected package,static direct,Amazon interface descriptor/tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,11,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-010,EnableDisableComponentAction,policy component enable/disable per user/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293735/IP=0x0526e8,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; user-list driven,EnableDisableComponentAction,explicit user argument in method,policy-selected component,static direct,Amazon interface descriptor/tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,12,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-011,EnableDisableComponentAction,policy application enable/disable per user/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293738/IP=0x0526f4,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; user-list driven,EnableDisableComponentAction,explicit user argument in method,policy-selected package,static direct,Amazon interface descriptor/tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,13,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-012,BluetoothManagerService,updateOppLauncherComponentState/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,56994/IP=0x05da2c,IPackageManager,UNKNOWN,package service via system_server,system_server internal; standard PMS validation,BluetoothManagerService,UNKNOWN,com.android.bluetooth.opp.BluetoothOppLauncherActivity,static direct,transaction UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,14,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-013,InputMethodManagerService,updateInputMethodsFromSettingsLocked/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,85596/IP=0x07cc08,IPackageManager,UNKNOWN,package service via system_server,system_server internal; exact caller/data-flow UNKNOWN,InputMethodManagerService,explicit user/calling package args in signature,IME package,static direct,exact gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,15,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-014,ActivityManagerService$DevelopmentSettingsObserver,development settings component toggle/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,158798/IP=0x0d7ba8,IPackageManager,UNKNOWN,activity/system_server path,system_server internal; development_settings_enabled marker,DevelopmentSettingsObserver,UNKNOWN,com.android.shell.BugreportStorageProvider,static direct,SELinux/service-manager gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,16,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-015,PackageManagerShellCommand,shell package enable/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,500744/IP=0x2dbb62,IPackageManager,UNKNOWN,package service manager shell path,shell UID command path; standard PMS gate,PackageManagerShellCommand,--user,package argument,static direct,transaction UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,17,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-016,PackageManagerShellCommand,shell component enable/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,500765/IP=0x2dbbc2,IPackageManager,UNKNOWN,package service manager shell path,shell UID command path; standard PMS gate,PackageManagerShellCommand,--user,component argument,static direct,transaction UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,18,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-017,ActivityManagerService,systemReady component state/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,785598/IP=0x108d22,IPackageManager,UNKNOWN,system_server internal,system_server internal; user_setup_complete marker,ActivityManagerService,system lifecycle user scope,ActivityManagerStartApps,static direct,exact gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,19,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52eb88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-018,DevicePolicyManagerService,enableIfNecessary/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,832035/IP=0x1de190,IPackageManager,UNKNOWN,device_policy system service,DevicePolicyManager/admin gate; caller/data-flow UNKNOWN,DevicePolicyManagerService,userId argument,device-admin package,static direct,permission exactness UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,20,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-019,DevicePolicyManagerService,enableSystemApp/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,840319/IP=0x1de234,IPackageManager,UNKNOWN,device_policy system service,only system apps; delegation-enable-system-app marker,DevicePolicyManagerService,userId argument,system app package,static direct,transaction UNKNOWN
