surface_family,source_csv,source_sha256,surface,source_config,shipped_object_module,dt_init,node_mode_label,caller,effect,anchors,input_hashes,confidence,verdict,evidence_id,artifact_or_hash,source_symbol_anchor,gate_or_identity,sink_or_effect,status,remaining_unknown,id,evidence_type,path,line_or_offset,observation,static_anomaly,reachability_status,sha256,edge,source_presence,registration,handle_visibility,method_gate,effect_or_sink,missing_edge,input_refs,csv_parse_note
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,medium,,,,,,,,,,,,,,,,,amazonappsettings+packagewhitelister+factoryresetwhitelist+packagerecency,partial,registered XMLs,unknown/publicness not unified,method-local gates incomplete,package/settings sink not proven,source-to-PMS/settings join,extraction-manifest.tsv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,medium,,,,,,,,,,,,,,,,,amazonusermanager+kindlefreetime+toddlermode,partial,registered XMLs,unknown per auxiliary entry,known IAmazonUserManager path gated; auxiliaries unjoined,alternate component/user writer not proven,class/consumer/gate join,extraction-manifest.tsv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,medium,,,,,,,,,,,,,,,,,fireossystemota+crlsetmanager+amazoncertpininstall,partial,registered XMLs,unknown per callback,phase/signature/upgrade gates incomplete,OTA sink not proven,callback sender/phase/effect join,extraction-manifest.tsv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,medium,,,,,,,,,,,,,,,,,receiverfilter+tabletbroadcastrelay,partial,registered XMLs,receiver visibility not unified,exportedness/permission/caller union incomplete,broadcast-to-settings/HOME/package sink not proven,union receiver manifest and callback review,extraction-manifest.tsv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,negative claim limited by callback gaps,,,,,,,,,,,,,,,,,corpus completeness,yes,244 complete fosinit XML entries,186 saved runtime services,31 reviewed private Binder methods,none,registration/runtime/source reconciliation is not a reachability proof,high,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6jd-fosinit-20260810-01/extraction-manifest.tsv,sha256=0797a670880672e424326aa206ab422ca849e2996d2f0985aa2d4b2ca61ea993,,,,,,,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6jd-fosinit-20260810-01/manifest.sha256,sha256=37012a90b7822304a080c736f12684fdf5d58a2bc6ca92e80536d37c3a882f58,,,,,,,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6h/phase6h-framework-ipc-20260804-01/fosinit-edges.csv,sha256=977463568dd26a42bbec58e88a3f33adc20c7337da2a20367d8fe5ebeb247c54,,,,,,,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6k/service-surface-audit-20260805-01/service-surface.csv,sha256=4671100ea095e8625f87e125a31f76551effd2608c93a624de44158e8a6572dd,,,,,,,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6l/binder-contract-audit-20260805-02/contract-methods.csv,sha256=062b74661247122a670d8f16c5d2547a7f192be02de3d6e66ff8dc76d41b3957,,,,,,,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6mv-runtime-report-20260810-02/runtime-summary.csv,sha256=5b974ced88721359d6905c5711481c5bc1fb8bcbf6a2fff0eb7a301e42485564,,,,,,,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6kw-vendor-home-callbacks/vendor-home-callbacks.csv,sha256=638c1a8ae1bae66cb24ebede74a8afcb48e26fd09f0028d87a8d2fef6ac3bc3d,,,,,,,extra_fields=1 on provenance row
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT_HASH:artifacts/phase6k/amazon-service-readonly-20260805-01/service-list.txt,sha256=4b7f5bea6c0ce60945df5f86dba8126652c5d67e9bf584a21710230681212d6d,,,,,,,extra_fields=1 on provenance row
